Deutscher Werftbau (DE) Segelyacht;https://www.boats24.com/sailboat/sailing-yacht/deutscher-werftbau/407650/segelyacht-mit-mercedes-motor.html;69000;1986; Greece;WellMaintained
Dehler 23 Sprinter Segelboot;https://www.boats24.com/sailboat/sailing-yacht/dehler/425279/23-sprinter-segelboot-mit-yamaha-motor.html;8900;1983; Germany;WellMaintained
Beck & Söhne (DE) 22er Schärenkreuzer;https://www.boats24.com/sailboat/classic-boat/beck-soehne/480011/22er-schaerenkreuzer-mit-allpa-mini-sf-7-motor.html;45000;1978; Germany;WellMaintained
Jeanneau Sun Odyssey 54 DS;https://www.boats24.com/sailboat/sailing-yacht/jeanneau/468318/sun-odyssey-54-ds-mit-yanmar-motor.html;302500;2006; Spain;WellMaintained
Laurent Giles Double Ender 33ft;https://www.boats24.com/sailboat/classic-boat/laurent-giles/485102/double-ender-33ft-mit-nanni-3-21-motor.html;15000;1950; Italy;WellMaintained
Eigenbau 20er Stahljollenkreuzer;https://www.boats24.com/sailboat/cruiser/eigenbau/497596/20er-stahljollenkreuzer-mit-kraftsman-motor.html;7000;1986; Germany;WellMaintained
Yachtbou Nord (NL) SEAHAWK 40;https://www.boats24.com/sailboat/sailing-yacht/yachtbou-nord/499023/seahawk-40-mit-peugeot-dtn-motor.html;38500;1973; Germany;WellMaintained
Lagoon 450s;https://www.boats24.com/sailboat/catamaran/lagoon/468186/450s-mit-yanmar-motor.html;450000;2017; Montenegro;WellMaintained
Vindö (SE) 32;https://www.boats24.com/sailboat/sailing-yacht/vindoe/491263/32-mit-volvo-penta-motor.html;29500;1976; Germany;WellMaintained
Vindö (SE) 40;https://www.boats24.com/sailboat/sailing-yacht/vindoe/478233/40-mit-sole-motor.html;29500;1978; Netherlands;WellMaintained
Catnano Nautic Mobil 9,15;https://www.boats24.com/sailboat/catamaran/catnano-nautic-mobil/66381/915-mit-farymann-motor.html;97000;2014; Greece;WellMaintained
Bruce Roberts Yacht Design (GB) Custom Built;https://www.boats24.com/sailboat/sailing-yacht/bruce-roberts-yacht-design/492703/custom-built-mit-mercedes-om314-motor.html;198000;1989; The Caribbean;LikeNew
Dufour 335 Grand Large - Motor neu;https://www.boats24.com/sailboat/sailing-yacht/dufour/490279/335-grand-large-motor-neu-mit-volvo-motor.html;89500;2014; Italy;WellMaintained
Hanse Yachts 325;https://www.boats24.com/sailboat/sailing-yacht/hanse-yachts/498641/325-mit-volvo-penta-d1-20-motor.html;65000;2014; Poland;WellMaintained
Hiddensee 8 Meter Segelyacht;https://www.boats24.com/sailboat/cabin-boat/hiddensee/494187/8-meter-segelyacht-mit-honda-motor.html;Price On Request;1982; Germany;WellMaintained
Schooner Chasse-Marée;https://www.boats24.com/sailboat/classic-boat/schooner/480683/chasse-maree-mit-yanmar-motor.html;59000;1994; Belgium;WellMaintained
Eigenbau Reinke S 11;https://www.boats24.com/sailboat/sailing-yacht/eigenbau/485066/reinke-s-11-mit-perkins-4108-motor.html;69000;2003; Spain;WellMaintained
Dehler dB1;https://www.boats24.com/sailboat/sailing-yacht/dehler/498406/db1-mit-faryman-3zyl-motor.html;16500;1981; Germany;WellMaintained
Beneteau First Class 8;https://www.boats24.com/sailboat/keelboat/beneteau/483280/first-class-8-mit-mercury-4t-motor.html;15000;1986; Italy;WellMaintained
Markmann Konsul Konsul 37;https://www.boats24.com/sailboat/sailing-yacht/markmann-konsul/478735/konsul-37-mit-yanmar-motor.html;32000;1980; Germany;WellMaintained
Eigenbau Hochseekatamaran;https://www.boats24.com/sailboat/catamaran/eigenbau/484519/hochseekatamaran-mit-perkins-m30-motor.html;99500;1983; Greece;WellMaintained
Hanse Yachts 630e;https://www.boats24.com/sailboat/sailing-yacht/hanse-yachts/477331/630e-mit-yanmar-motor.html;400000;2008; Italy;WellMaintained
Contest Yachts 32 CS;https://www.boats24.com/sailboat/sailing-yacht/contest-yachts/487538/32-cs-mit-volvo-penta-motor.html;29500;1984; Spain;WellMaintained
Beneteau OCEANIS 55;https://www.boats24.com/sailboat/cruiser/beneteau/451311/oceanis-55-mit-yanmar-motor.html;369000;2017; Greece;LikeNew
Dawartz (DE) Motorsegler;https://www.boats24.com/sailboat/motor-sailer/dawartz/458117/motorsegler-mit-mercedes-motor.html;129000;1975; Netherlands;LikeNew
Liman Pleasure Yacht;https://www.boats24.com/sailboat/motor-sailer/liman/484380/pleasure-yacht-mit-caterpillar-motor.html;Price On Request;2002; Spain;WellMaintained
Hallberg-Rassy 42  Nr.73;https://www.boats24.com/sailboat/sailing-yacht/hallberg-rassy/439165/42-nr-73-mit-volvo-penta-md22p-motor.html;Price On Request;1983; Spain;WellMaintained
Dufour 512 Grand Large;https://www.boats24.com/sailboat/sailing-yacht/dufour/449416/512-grand-large-mit-yanmar-motor.html;240000;2017; Croatia;LikeNew
Eigenbau Klingenberg design Slup 40;https://www.boats24.com/sailboat/sailing-yacht/eigenbau/474400/klingenberg-design-slup-40-mit-mercedes-benz-om-636-motor.html;59900;1976; Germany;WellMaintained
Dehler Duetta 94 Sport;https://www.boats24.com/sailboat/motor-sailer/dehler/494909/duetta-94-sport-mit-yanmar-igm-10-motor.html;Price On Request;1985; Austria;WellMaintained
Vermeulens Yachtwerft (NL) Super Scheldeschouw;https://www.boats24.com/sailboat/sailing-yacht/vermeulens-yachtwerft/466725/super-scheldeschouw-mit-volvo-penta-motor.html;27000;1972; Croatia;WellMaintained
Beneteau Oceanis Clipper 281;https://www.boats24.com/sailboat/sailing-yacht/beneteau/430895/oceanis-clipper-281-mit-volvo-penta-md-2020-d-motor.html;34000;2001; Germany;WellMaintained
Daimio Daimio 24;https://www.boats24.com/sailboat/sailing-yacht/daimio/496357/daimio-24-mit-volvo-penta-mb2-motor.html;12000;1977; Netherlands;WellMaintained
Hanse Yachts 495;https://www.boats24.com/sailboat/sailing-yacht/hanse-yachts/457016/495-mit-volvo-penta-motor.html;169000;2012; Croatia;WellMaintained
Hanse Yachts Hanse 495;https://www.boats24.com/sailboat/classic-boat/hanse-yachts/414318/hanse-495-mit-volvo-penta-motor.html;149000;2011; Croatia;WellMaintained
Asmus (DE) Hanseat Kommendore;https://www.boats24.com/sailboat/sailing-yacht/asmus/457513/hanseat-kommendore-mit-yanmar-motor.html;65000;1980; Greece;WellMaintained
Beneteau Oceanis 45;https://www.boats24.com/sailboat/sailing-yacht/beneteau/453931/oceanis-45-mit-yanmar-motor.html;185000;2012; Spain;WellMaintained
Hanse Yachts 370;https://www.boats24.com/sailboat/sailing-yacht/hanse-yachts/491137/370-mit-yanmar-motor.html;69000;2006; Croatia;WellMaintained
Tayana (TW) Tayana 55;https://www.boats24.com/sailboat/sailing-yacht/tayana/475802/tayana-55-mit-yanmar-4lh-motor.html;265000;1992; Italy;LikeNew
Tabasco Marin (FI) Inferno 29;https://www.boats24.com/sailboat/sailing-yacht/tabasco-marin/497429/inferno-29-mit-yanmar-1gm10-motor.html;29000;1987; Germany;WellMaintained
Northshore Yachts (GB) Southerly 105;https://www.boats24.com/sailboat/sailing-yacht/northshore-yachts/477841/southerly-105-mit-bukh-motor.html;52000;1982; Germany;WellMaintained
Sommerfeld (DE) Marion;https://www.boats24.com/sailboat/sailing-yacht/sommerfeld/497383/marion-mit-bmw-d7-motor.html;54000;1975; Germany;LikeNew
Siegfried-Werft Yachtkutter;https://www.boats24.com/sailboat/sailing-yacht/siegfried-werft/497406/yachtkutter-mit-man-m-motor-motor.html;74800;1970; Germany;WellMaintained
Henry Wauquiez (FR) centurion 32;https://www.boats24.com/sailboat/classic-boat/henry-wauquiez/490815/centurion-32-mit-yanmar-3y-m30-motor.html;35000;1972; Italy;WellMaintained
Gibert Marine GIB SEA 114;https://www.boats24.com/sailboat/sailing-yacht/gibert-marine/490832/gib-sea-114-mit-perkins-motor.html;38000;1986; Croatia;WellMaintained
ADLA 38;https://www.boats24.com/sailboat/motor-sailer/adla/390199/38-mit-daf-motor.html;35000;1994; Croatia;WellMaintained
Burmester (DE) Achat;https://www.boats24.com/sailboat/sailing-yacht/burmester/437384/achat-mit-yamaha-motor.html;14444;1976; Germany;LikeNew
unbekannt Skärgårdskryssare – 44 fot;https://www.boats24.com/sailboat/classic-boat/unbekannt/490408/skaergardskryssare-44-fot-mit-volvo-motor.html;Price On Request;1980; Italy;LikeNew
Great Dane GREAT DANE 28;https://www.boats24.com/sailboat/classic-boat/great-dane/490740/great-dane-28-mit-betamarine-motor.html;17500;1971; Germany;WellMaintained
