Bavaria 44 Cruiser med rullestorseil.;https://www.finn.no/boat/forsale/ad.html?finnkode=214974067;790000;2002;46
Spesiell to master Ketch seilbåt;https://www.finn.no/boat/forsale/ad.html?finnkode=182610429;130000;1976;36
Benetau Oceanis 43 - 3 kabiner og 2 bad - velholdt og pen;https://www.finn.no/boat/forsale/ad.html?finnkode=214626535;1450000;2007;43
HARMONY 34;https://www.finn.no/boat/forsale/ad.html?finnkode=211496274;495000;2006;34
Flott Bavaria 46 Cruiser;https://www.finn.no/boat/forsale/ad.html?finnkode=214096421;1200000;2005;46
Velholdt og fin Comfort til salgs pga. lite brukt;https://www.finn.no/boat/forsale/ad.html?finnkode=183793247;85000;1984;30
Fordi trygghet teller - registrer båten i NOR;https://www.sdir.no/fritidsbat/registrere-fritidsbat-i-nor/hvorfor-velge-frivillig-registrering-av-baten-i-skipsregisteret-nor/;357000;1991;38
Beneteau 38, ny motor i 2010 -  Kubota V1505 36 hk 2010.;https://www.finn.no/boat/forsale/ad.html?finnkode=214730349;;1912;47
Vakkert mesterstykke, fantastisk seilglede. Totalrestaurert 9mR 1912/2008.;https://www.finn.no/boat/forsale/ad.html?finnkode=215195298;9000;1980;11
Hollandsk seiljolle;https://www.finn.no/boat/forsale/ad.html?finnkode=215115290;49000;1977;20
Hollandsk glassfiber Tjotter;https://www.finn.no/boat/forsale/ad.html?finnkode=215158572;500;1975;17
Flipperjolle selges i Bergen;https://www.finn.no/boat/forsale/ad.html?finnkode=128649508;89000;1985;36
Havseiler til salgs.;https://www.finn.no/boat/forsale/ad.html?finnkode=215143526;1950000;2008;47
Hanse 470e  til salgs;https://www.finn.no/boat/forsale/ad.html?finnkode=215186136;120000;1982;28
MAXI FENIX DINETTE, godt utstyrt! Vårtilbud!;https://www.finn.no/boat/forsale/ad.html?finnkode=215185990;319000;1981;31
Hallberg Rassy Monsun 31;https://www.finn.no/boat/forsale/ad.html?finnkode=214811829;7000;1976;16
Trapez seiljolle;https://www.finn.no/boat/forsale/ad.html?finnkode=215147131;1090000;2015;34
